"date","state","party","amt"
"2020-03-07","MD","R",530
"2020-03-07","MA","D",7934
"2020-03-07","MA","R",606
"2020-03-07","MI","D",10236
"2020-03-07","MI","R",1139
"2020-03-07","MN","D",3876
"2020-03-07","MN","R",621
"2020-03-07","MS","D",3100
"2020-03-07","MS","R",412
"2020-03-07","MO","D",7701
"2020-03-07","MO","R",729
"2020-03-07","MT","D",635
"2020-03-07","MT","R",332
"2020-03-07","NE","D",873
"2020-03-07","NE","R",371
"2020-03-07","NV","D",1617
"2020-03-07","NV","R",489
"2020-03-07","NH","D",1329
"2020-03-07","NH","R",332
"2020-03-07","NJ","D",6115
"2020-03-07","NJ","R",692
"2020-03-07","NM","D",1226
"2020-03-07","NM","R",361
"2020-03-07","NY","D",14996
"2020-03-07","NY","R",1296
"2020-03-07","NC","D",6584
"2020-03-07","NC","R",1261
"2020-03-07","ND","D",271
"2020-03-07","ND","R",300
"2020-03-07","OH","D",9054
"2020-03-07","OH","R",1246
"2020-03-07","OK","D",1582
"2020-03-07","OK","R",654
"2020-03-07","OR","D",3641
"2020-03-07","OR","R",567
"2020-03-07","PA","D",8152
"2020-03-07","PA","R",1248
"2020-03-07","RI","D",978
"2020-03-07","RI","R",300
"2020-03-07","SC","D",2622
"2020-03-07","SC","R",761
"2020-03-07","SD","D",308
"2020-03-07","SD","R",300
"2020-03-07","TN","D",3239
"2020-03-07","TN","R",957
"2020-03-07","TX","D",11729
"2020-03-07","TX","R",3923
"2020-03-07","UT","D",1595
"2020-03-07","UT","R",462
"2020-03-07","VT","D",722
"2020-03-07","VT","R",300
"2020-03-07","VA","D",6577
"2020-03-07","VA","R",1022
"2020-03-07","DC","D",1256
"2020-03-07","DC","R",300
"2020-03-07","WA","D",6996
"2020-03-07","WA","R",943
"2020-03-07","WV","D",728
"2020-03-07","WV","R",364
"2020-03-07","WI","D",3142
"2020-03-07","WI","R",539
"2020-03-07","WY","D",243
"2020-03-07","WY","R",300
"2020-03-08","AL","D",1141
"2020-03-08","AL","R",690
"2020-03-08","AK","D",298
"2020-03-08","AK","R",300
"2020-03-08","AZ","D",3262
"2020-03-08","AZ","R",1134
"2020-03-08","AR","D",771
"2020-03-08","AR","R",416
"2020-03-08","CA","D",19185
"2020-03-08","CA","R",3079
"2020-03-08","CO","D",3267
"2020-03-08","CO","R",811
"2020-03-08","CT","D",2234
"2020-03-08","CT","R",376
"2020-03-08","DE","D",582
"2020-03-08","DE","R",300
"2020-03-08","FL","D",13731
"2020-03-08","FL","R",2932
"2020-03-08","GA","D",3531
"2020-03-08","GA","R",1168
"2020-03-08","HI","D",471
"2020-03-08","HI","R",300
"2020-03-08","ID","D",593
"2020-03-08","ID","R",369
"2020-03-08","IL","D",8081
"2020-03-08","IL","R",981
"2020-03-08","IN","D",1979
"2020-03-08","IN","R",738
"2020-03-08","IA","D",1155
"2020-03-08","IA","R",412
"2020-03-08","KS","D",1067
"2020-03-08","KS","R",435
"2020-03-08","KY","D",1269
"2020-03-08","KY","R",546
"2020-03-08","LA","D",848
"2020-03-08","LA","R",537
"2020-03-08","ME","D",957
"2020-03-08","ME","R",300
"2020-03-08","MD","D",3496
"2020-03-08","MD","R",514
"2020-03-08","MA","D",5089
"2020-03-08","MA","R",567
"2020-03-08","MI","D",9706
"2020-03-08","MI","R",1089
"2020-03-08","MN","D",2482
"2020-03-08","MN","R",625
"2020-03-08","MS","D",4238
"2020-03-08","MS","R",382
"2020-03-08","MO","D",7216
"2020-03-08","MO","R",725
"2020-03-08","MT","D",415
"2020-03-08","MT","R",314
"2020-03-08","NE","D",553
"2020-03-08","NE","R",341
"2020-03-08","NV","D",1072
"2020-03-08","NV","R",472
"2020-03-08","NH","D",825
"2020-03-08","NH","R",307
"2020-03-08","NJ","D",4104
"2020-03-08","NJ","R",710
"2020-03-08","NM","D",850
"2020-03-08","NM","R",341
"2020-03-08","NY","D",10360
"2020-03-08","NY","R",1335
"2020-03-08","NC","D",4276
"2020-03-08","NC","R",1138
"2020-03-08","ND","D",162
"2020-03-08","ND","R",300
"2020-03-08","OH","D",6995
"2020-03-08","OH","R",1149
"2020-03-08","OK","D",1037
"2020-03-08","OK","R",696
"2020-03-08","OR","D",2425
"2020-03-08","OR","R",599
"2020-03-08","PA","D",5286
"2020-03-08","PA","R",1102
"2020-03-08","RI","D",629
"2020-03-08","RI","R",300
"2020-03-08","SC","D",1723
"2020-03-08","SC","R",717
"2020-03-08","SD","D",221
"2020-03-08","SD","R",300
"2020-03-08","TN","D",2176
"2020-03-08","TN","R",963
"2020-03-08","TX","D",7884
"2020-03-08","TX","R",3653
"2020-03-08","UT","D",1072
"2020-03-08","UT","R",472
"2020-03-08","VT","D",486
"2020-03-08","VT","R",300
"2020-03-08","VA","D",4272
"2020-03-08","VA","R",981
"2020-03-08","DC","D",888
